NO,NAMA JAMU,KHASIAT,KANDUNGAN,ATURAN MINUM,EFEK SAMPING,JENIS,PRODUSEN,KATEGORI,LOKASI PEMASARAN,LOKASI PRODUKSI,KABUPATEN,PERIZINAN,
171,KOPI JANTAN ANTI DIABETES,"Insya Allah sangat ampuh untuk mengatasi penyakit diabetes, lemah syahwat, ejakulasi dini, meningkatkan libido, menambah stamina, vitalitas dan meningkatkan daya tahan tubuh pria dan wanita.","15% Ekstrak Kopi Rempah, 10% Ekstrak Andrografis, 20% Ekstrak Akar Ginseng, 20% Ekstrak Rimpang Jahe Merah, Dan bahan lainnya hingga total 100%.",Terapi pengobatan sehari 2 bungkus diminum pagi dan malam hari. Untuk menjaga tubuh tetap sehat 1 bungkus diminum satu kali sehari.,tidak ada,serbuk,PT.QOMAR JAYA NUSANTARA,Jamu Pasutri,online,Sumenep,Sumenep,KEMENKES,
172,MADU Ruqyah,"Insya Allah dapat Meningkatkan gairah sex pria/wanita, kesulitan mendapatkan keturunan, Gangguan Jin/Psikis, dan kena Sihir/Santet","Madu Pahit, Sarang Burung Walet, Habbatus Saudah","2X sehari, 1 sendok makan diseduh dengan air hangat 200ml, diminum sebelum makan dan sebelum tidur. untuk mendapat hasil maksimal diminum secara rutin dan teratur.",tidak ada,cair,PT.QOMAR JAYA NUSANTARA,Jamu Pasutri,online,Sumenep,Sumenep,KEMENKES,
173,SUSU SUPER SEHAT GOLD,"Mudah lesu/loyo/letih/kurang semangat atau kurang energik, Merawat dan memperkuat otot Mr.P, Menambah stamina pria dan wanita, Merawat dan mengencangkan Ms V, Mengatasi keputihan, Lendir berlebih pada Ms,V, Dan membuat keharmonisan suami istri","Terbuat dari biji kedelai pilihan, sarang burung walet, pemanis alami dari sari bunga dan tebu, akar tanaman, dan bahan-bahan khsus lainnya yang 100 alami dan asli dari madura","Aman diminum sebelum atau sesudah makan, namun kami anjurkan untuk diminum sesudah makan dan 2 jam sebelum tidur",tidak ada,serbuk,PT.QOMAR JAYA NUSANTARA,Jamu Pasutri,online,Sumenep,Sumenep,KEMENKES,
174,SUBUR KANDUNGAN,dapat menyuburkan kandungan. Baik untuk ibu yang baru keguguran,"pegagan, rimpang jahe, rompang kunyit dan bahan herbal lainnya","1 sendok penuh dimasak dengan air 1,5 gelas dijadikan 1 gelas diminum setiap malam sewaktu akan tidur. Ampas jangan dibuang diberi air lagi ",tidak ada,serbuk,Karya Ibu Abdullah,Jamu Perawatan Kewanitaan,online,,Pamekasan,KEMENKES,
175,SABUN CAIR SIRIH,harum dan keset pembersih daerah khusus kewanitaan,daun sirih,dicampur dengan air untuk dibilas di area intim wanita,tidak ada,cair,UD.MUSTIKA BANI,Jamu Perawatan Kewanitaan,online,,sumenep,Tidak ada,
176,krim rondo ayu,Khasiat dapat mengencangkan payudara yang turun. Disarankan diminum dengan kapsul montok payudara untuk hasil yang maksimal.,bengkoang dan campuran ramuan,"2x1 pagi dan sore, kompres payudara dengan air hangat 10 menit kemudian oleskan krim ini lalu dipijat kurang lebih 3 menit",tidak ada,krim,Karya Ibu Abdullah,Jamu Perawatan Kewanitaan,madura,,Pamekasan,Tidak ada,
177,harum rempah spray(perfume),"Dapat menghilangkan bau badan. Bisa digunakan untuk ketiak, leher, kaki, dan rambut.",rempah-rempah asli arab,semprotkan pada seluruh tubuh dan ketiak sesudah mandi,tidak ada,cair,Karya Ibu Abdullah,Jamu Kesehatan,madura,,Pamekasan,Tidak ada,
178,virginity spray,dapat membuat wangi bagian bawah (Vagina),ekstrak daun sirih dan bahan bahan lain,disemprotkan 2-3 kali pada vagina setengah jam sebelum berhubungan intim,tidak ada,cair,Karya Ibu Abdullah,Jamu Perawatan Kewanitaan,madura,,Pamekasan,Tidak ada,
179,empot-empot ayam super,"Menggairahkan kembali hubungan suami istri, Menyerap kelebihan lendir (keputihan), Mencegah dan menghilangkan bau tidak sedap pada bagian kewanitaan dan menghilangkan bau badan, Mengencangkan kembali otot² kewanitaan setelah melahirkan, Mengembalikan kegadisan / keperawanan, Tidak dianjurkan diminum ketika sedang masa haid/masa nifas","paramecia laevglata, boesenbergiae rotunda, dll",minum 2x3 butir tiap hari,tidak ada,pil,Karya Ibu Abdullah,Jamu Pasutri,madura,,Pamekasan,Tidak ada,
180,galian rapet awet muda,"Menggairahkan kembali hubungan suami istri, Menyerap kelebihan lendir (keputihan), Mencegah dan menghilangkan bau tidak sedap pada bagian kewanitaan dan menghilangkan bau badan, Dapat dikonsumsi oleh gadis / remaja, Mengembalikan kegadisan / keperawanan, Tidak dianjurkan diminum ketika sedang masa haid/masa nifas","kayu rapet, delima putih, ketumar dll",minum 2x3 butir tiap hari,tidak ada,pil,Karya Ibu Abdullah,Jamu Pasutri,madura,,Pamekasan,Tidak ada,
181,serbuk nikmat surga,"Menambah rasa kenikmatan dalam bersetubuh, Menggairahkan kembali hubungan suami istri, Menyerap kelebihan lendir (keputihan), Menghilangkan bau tidak sedap pada bagian kewanitaan, Tidak dianjurkan diminum ketika sedang masa haid/masa nifas","kunyit, daun sirih, dan rempah yang lain","diminum dengan air, the setengah cangkir dan madu",tidak ada,serbuk,Karya Ibu Abdullah,Jamu Pasutri,madura,,Pamekasan,Tidak ada,
182,Bedak madu,"Mengangkat sel² kulit mati, Mencegah timbulnya jerawat, Menghilangkan flek hitam di wajah, Menghilangkan mata panda, menghilangkan biang keringat","madu, minyak zaitun, dan aneka rempah","2 butir bedak madu dicampur dengan air hangat secukupnya, dioleskan pada wajah dan badan sampai mengering, pakai rutin pagi dan sore",tidak ada,pil,Karya Ibu Abdullah,Jamu Kesehatan,madura,,Pamekasan,Tidak ada,
183,Gemuk Sehat,"Menambah nafsu makan, Membersihkan jerawat, Menghaluskan kulit, Menghilangkan bau mulut dan bau badan, Membuat tubuh padat berisi (montok), Menambah semangat kerja","10% Kayu Secang, 10% Kulit Batang Kayu Manis (Cassia), 15% Buah Fomiculli (Pastikan penulisan yang benar), 10% Bunga Cengkeh, Dan bahan lainnya hingga total 100%.",,tidak ada,kapsul,Karya Ibu Abdullah,Jamu Kesehatan,madura,,Pamekasan,BPOM,
184,Montok Payudara,"Membuat tubuh montok dan berisi, Melangsingkan dan menyingsetkan tubuh, Mengencangkan payudara, Menghilangkan pegal² dan kecapean, Menambah semangat kerja, Menggantikan sel² kulit mati dengan segera, Kulit menjadi halus dan berseri","kunyit, kapulaga, dll",2-3 kapsul setiap hari,tidak ada,kapsul,Karya Ibu Abdullah,Jamu Perawatan Kewanitaan,madura,,Pamekasan,KEMENKES,
