NO,NAMA JAMU,KHASIAT,KANDUNGAN,ATURAN MINUM,EFEK SAMPING,JENIS,PRODUSEN,KATEGORI,LOKASI PEMASARAN,LOKASI PRODUKSI,KABUPATEN,PERIZINAN,
252,Jamu Wiraraja,"Meningkatkan kesegaran badan, memulihkan stamina, dan melancarkan peredaran darah","Jintan Hitam, Ginseng, Merica, Jahe, Laos",1 sachet untuk 150ml air hangat untuk 1 kali minum,tidak ada,serbuk,Kedai Rimpang,Jamu Kesehatan,Se-indonesia,Jl. Seludang No 37 Sumenep,sumenep,Tidak ada,
253,Manjavikan,"Mengatasi keputihan, melancarkan haid, mengatasi nyeri haid, melancarkan asi, membantu promil, merapatkan miss v","Ekstrak manjakani, kayu rapet, buah pinang, kunyit, jeruk",1-2 x sehari,tidak ada,serbuk,PT. Mahkota Sukses Indonesia,Jamu Perawatan Kewanitaan,Se-indonesia,"Jaalan Beran, Kec. Sukodono, Sidoarjo",Sidoarjo,Tidak ada,
254,Rukun Wanita (Sorga),"Baik untuk ibu yang sering mengalami kegelapan dalam berhubungan suami istri, Menghilangkan bau yang tidak sedap pada miss V, Mengencangkan Otot kewanitaan","Kaemferia Angustivolia, Curcumae Domestica, Foeniculum Vulgare, Quercus Granatum, Kaemferia Galanga","Diminum 2 x 4 kapsul setiap hari, pagidan malam.",tidak ada,kapsul,ribkah maryam jokotole,Jamu Perawatan Kewanitaan,Se-indonesia,Jl.KHA. Marzuki 68 B,Bangkalan,BPOM,
255,Madu Asmara Spray (Kecil),"Menghilangkan keputihan, Merapatkan miss v seketika, miss v jadi harum menggoda untuk pasangan pasutri","ekstrak daun sirih, ekstrak manjakani, ekstrak kayu rapet",Semprotkan 2-3 kali ke arah miss v,tidak ada,cair,Madura Sari,Jamu Pasutri,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
256,Bubuk Madu Asmara,"Untuk Pasangan suami istri, membuat miss v keset rapet, membuat suami tahan lama",Madu dan rempah lain,ambil sedikit serbuk dengan air lalu oleskan ke kelamin pria/wanita,tidak ada,serbuk,berkah madu/sumber madu,Jamu Pasutri,indonesia,"Jl. KH. Mohamad Kholil No.50A, Demangan Timur, Demangan, Kec. Bangkalan, Kabupaten Bangkalan, Jawa Timur 69115",bangkalan,BPOM,
257,Jantala (Tahan Lama),"Membuat tahan lama dalam berhubungan suami istri, dan meningkatkan stamina suami","Custuae semen, terminalis hizoma, Areca semen, Cinamomum Cortex",5 sampai 10 butir [menurut kebutuhan] diminum kira-kira 3-5 jam sebelum aktivitas,tidak ada,pil,berkah madu/sumber madu,Jamu Pasutri,indonesia,"Jl. KH. Mohamad Kholil No.50A, Demangan Timur, Demangan, Kec. Bangkalan, Kabupaten Bangkalan, Jawa Timur 69115",bangkalan,BPOM,
258,Harumita,"Mengencangkan kembali otot otot kewanitaan, Mengurangi lendir berlebihan pada daerah kewanitaan, Memberikan kepuasan hubungan suami istri, Menjaga kesehatan wanita, Menjaga agar awet muda.","kulit buah delima, biji euchresta, akar empot ayam",3xsehari 5 butir.,tidak ada,pil,berkah madu/sumber madu,Jamu Pasutri,indonesia,"Jl. KH. Mohamad Kholil No.50A, Demangan Timur, Demangan, Kec. Bangkalan, Kabupaten Bangkalan, Jawa Timur 69118",bangkalan,BPOM,
259,sari rapet,"menambah kenikmatan dalam Hubungan suami istri, memberikan kebahagiaan suami istri, Menghilangkan rasa gatal dan bau pada Miss V","manjakani, kayu rapet, sirih, kunyit",3x sehari 1 kapsul,tidak ada,kapsul,berkah madu/sumber madu,Jamu Pasutri,indonesia,"Jl. KH. Mohamad Kholil No.50A, Demangan Timur, Demangan, Kec. Bangkalan, Kabupaten Bangkalan, Jawa Timur 69115",bangkalan,Tidak ada,
260,Bubuk Asmara,Membuat tahan lama saat bercinta untuk suami istri,"sirih, kayu manis, kulit delima, dan rempah lain",Oleskan Ke Miss v dan miss P,tidak ada,serbuk,berkah madu/sumber madu,Jamu Pasutri,indonesia,"Jl. KH. Mohamad Kholil No.50A, Demangan Timur, Demangan, Kec. Bangkalan, Kabupaten Bangkalan, Jawa Timur 69116",bangkalan,Tidak ada,
261,Jamu Ratu Madura,"Membuat vagina rapet seperti perawan, menghilangkan becek berlebihan, menambah gairah seksual, menjepit saat berhubungan","kunyit, sirih, dll",4 kapsul sehari,tidak ada,kapsul,Jamu neng shelfi,Jamu Pasutri,Se-indonesia,pamekasan,Pamekasan,Tidak ada,
262,Jamu Wasir,"Mengobati sakit wasir atau ambeien ( ambeien ) dan akibatnya, hingga sembuh total",1. Elphantopi Folium 2. Tinosporae Coulis 3. Marremioe Mommos Radis 4. Aegle Mamelos Cors 5. Ruta Angustilolis 6. Bahan Lain Hingga 100%,"2 x 4 kapsul sehari, setelah makan",tidak ada,kapsul,ribkah maryam jokotole,Jamu Kesehatan,Se-indonesia,Jl.KHA. Marzuki 68 B,Bangkalan,BPOM,
263,Jamu Super Pengental Sperma,"Menambahkan dan meningkatkan kualitas sperma dalam berhubungan suami istri, menjadikan ereksi lebih kuat, sperma lebih deras saat keluar","Kubeba, Jahe, Jintan hitam, kemukus, kapulaga, jintan putih, fenugreek","Minum 1x sehari, 3 kapsul dengan air hangat",tidak ada,kapsul,JKU SUPER,Jamu Pasutri,madura,pamekesan,Pamekasan,Tidak ada,
264,Jamu Super Rasa Kopi,"Asma, Asam Urat, Maag, Amandel, Kencing manis, Eksim ,Darah Tinggi.","temulawak, jahe, kencur dan bahan lain","1 sendok makan dengan air hangat untuk dewasa, untuk anak satu sendok teh dengan setengah gelas air hangat",tidak ada,serbuk,CV. Wahyu Ilahi,Jamu Kesehatan,Se-indonesia,Sumenep,Sumenep,Tidak ada,
265,Jamu Khusus Penganten,"mengharumkan dan menyegarkan badan serta menghilangkan kelesuan dan memberikan kekuatan baru, membuat muka tidak pucat dan menambah gairah pengantin baru. ","kunci pepet, kayu rapet, kulit dan buah delima putih","1-2 kapsul sekali minum, diminum 2 x sehari",tidak ada,kapsul,Sumber Madu,Jamu Pasutri,Se-indonesia,Bangkalan,Bangkalan,Tidak ada,
266,Jamu Asam Urat,"untuk menyembuhkan nyeri pada persendian, bengkak merah dan rasa panas yang disebabkan kelebihan asam urat,  badan terasa letih, lesu , lemah.","jahe, kunyit, daun sendok, cabe jawa, temulawak",2 kali sehari,tidak ada,serbuk,CV. Dua Saudara,Jamu Kesehatan,Se-indonesia,Bangkalan,Bangkalan,Tidak ada,
267,Sehat Pria /Perkasa (Tambah Syahwat),Menyembuhkan lemah syahwat dan impotensi pada laki laki. - Menambah gairah bagi pria saat berhubungan suami istri.,Cuscutae semen (untuk vita*litas pria) 20% • Terminalis rhizoma (batang tumbuhan) 20% • Areca semen (biji pinang) 20% • Cinnamomum cortex (kulit kering ) 20% Dan bahan lain sampai 100% ,5 pil pagi dan 5 pil malam,tidak ada,kapsul,berkah madu/sumber madu,Jamu Pasutri,indonesia,"Jl. KH. Mohamad Kholil No.50A, Demangan Timur, Demangan, Kec. Bangkalan, Kabupaten Bangkalan, Jawa Timur 69115",bangkalan,Tidak ada,
268,Godokan Rapet Wangi," memberi kepuasan hubungan suami istri, mengesatkan peranakan, bisa untuk perawatan jamu pengantin",daun sirih,"Ramuan di rebus dengan 2 liter air sampai bening, diminum 1 gelas sehari dicampur, dengan sendok the galian rapet, 1 sachet the gula pasir lalu diminum.",tidak ada,serbuk,Madura Sari,Jamu Pasutri,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
269,Jamu Kuat Apatheng,"Meningkatkan gairah sex, menambah daya tahan pria, memperlancar peredaran darah terutama area pria sehingga lebih sehat dan kuat, mencegah penyakit kelamin, mengatasi sakit pinggang, pegal linu ","Temu kunci, jahe merah, kapulaga, sari buah pinang, kayu manis, ","2-3 sendok makaan, diseduh dengn 1 gelas air hangat, 2x sehari",tidak ada,serbuk,UD. Lancar Jaya Madura,Jamu Pasutri,Se-indonesia,,,Tidak ada,
270,Jamu Gingseng  Lanange,"Untuk Pasangan Suami istri, Memperbaiki ejakulasi dini, Memberi kekuatan lebih, Tahan Lama berhari hari","Gingseng dan Tribulus, Buah Pinang, Kopi Houseblend",1 kemasan dengan 150ml air panas minum selagi hangat,tidak ada,serbuk,Kedai Rimpang,Jamu Pasutri,Se-indonesia,Jl. Seludang No 37 Sumenep,sumenep,Tidak ada,
271,Kapsul MM,"Membangkitkan Gairah libido laki-laki, Mengobati impotensi, Mengencangkan Ereksi, Tahan Lama mampu berulang - ulang","madu, temulawak, jinten hitam, madu",Minumlah 1 kapsul 30-60 menit,tidak ada,kapsul,Jamu neng shelfi,Jamu Pasutri,Se-indonesia,pamekasan,Pamekasan,Tidak ada,
272,Kapsul Herbal ,"pria perkasa lebih kuat dan Lebih tahan lama , Aman tanpa efek samping , Siap tempur sampai subuh","Jinten Hitam, Keningar, jahe, Cengkeh, Temulawak",1/2 kapsul  30-60 menit  sebelum melakukan hubungan intim,tidak ada,kapsul,berkah madu/sumber madu,Jamu Pasutri,indonesia,"Jl. KH. Mohamad Kholil No.50A, Demangan Timur, Demangan, Kec. Bangkalan, Kabupaten Bangkalan, Jawa Timur 69116",bangkalan,Tidak ada,
273,Jamu melak medem,"Menyembuhkan keputihan , merapatkan miss v ,  membuat nikmat hubungan suami istri , mengencangkan bagian intim saat berhubungan","massola aromatic, guazamae, folium, nigella semen",masukan satu biji jamu pke dlm miss v sedalam 5cm tanpa air,tidak ada,pil,Jamu neng shelfi,Jamu Pasutri,Se-indonesia,pamekasan,Pamekasan,Tidak ada,
274, Serbuk kuat & Tahan Lama suramadu,"Menambah Stamina & Daya Tahan Sex, Mencegah Ejakulasi Dini.","gingseng, madu, merica hitam,jahe, jinten dll",diseduh dengan air hangat sebelum berhubungan,tidak ada,serbuk,PJ. Perkasa Jaya,Jamu Pasutri,indonesia,,,Tidak ada,
